Origin Country,Bank Name,Deposit amount (bil uah),Equity,Assets,Net Profit,Overall Rating
Австрия,Райффайзен Банк Аваль,61,11.3,77.6,+3.2,33
Франция,Укрсиббанк,41.1,6.2,51.5,+2.0,32
США,Ситибанк,  ,2.4,26.5,+1.4,32
Нидерланды,Инг Банк,6.7,4,10.9,+0.5,31
Франция,Креди Агриколь Банк,30.3,4.6,37.3,+1.2,29
Венгрия,Отп Банк,30.5,7,39.3,+1.7,26
Украина,Приватбанк,219.1,45.5,288.9,+25.8,26
Украина,Укрэкзимбанк,75,8.9,141.6,+1.6,26
Украина,Ощадбанк,167.6,18.7,218.1,+0.2,24
Германия,Прокредит Банк,12.8,3.4,21.9,+0.5,24
Италия,Правекс Банк,2.8,2,4.9,-0.04,24
Польша,Идея Банк,4,0.8,5.1,+0.2,24
Греция,Пиреус Банк,1.8,0.6,2.8,+0.03,24
Россия,Альфа-Банк,54.8,6.3,64.3,+1.3,22
Украина,ПУМБ,41.2,8.2,52.2,+1.8,22
Украина,Укргазбанк,94,6.3,110.1,+0.3,22
Швеция,СЕБ Корпоративный Банк,1,0.6,1.8,+0.05,22
Нидерланды,Кредит Европа Банк,0.4,0.4,1,+0.05,21
Швейцария,Львов Банк,1.9,0.3,2.9,+0.01,19
Польша,Кредобанк,13,2.3,17.4,+0.3,17
